Fiscal_Year,Service,Fund_Type,Fund,Item_Category,Description,Approved_Amount
2017,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Fines & Forfeitures,Parking Fines,3250000
2017,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Investment Income,Investment Income,39990
2017,M-NCPPC,NON-TAX SUPPORTED,Prop Mgmt MNCPPC,Investment Income,Investment Income,4000
2017,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Miscellaneous,Miscellaneous Revenues,284120
2017,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Miscellaneous,Property Rentals,40000
2017,Montgomery College,NON-TAX SUPPORTED,Auxiliary Fund,Miscellaneous,Auxiliary Fund: Interest Income,4000
2017,Montgomery College,NON-TAX SUPPORTED,Auxiliary Fund,Miscellaneous,Other Revenues: Miscellaneous,991000
2017,Montgomery College,NON-TAX SUPPORTED,Auxiliary Fund,Miscellaneous,Other Revenues: Performing Arts Center,0
2017,M-NCPPC,NON-TAX SUPPORTED,Prop Mgmt MNCPPC,Miscellaneous,Miscellaneous,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Hills Parking,Taxes,Property Tax,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Hills Parking,Licenses & Permits,Electrical Permits and Licenses,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Hills Parking,Charges for Services,Parking Fees,45000
2017,Montgomery County Public Schools,NON-TAX SUPPORTED,Food Service Fund,Charges for Services,Sale of Meals,17262204
2017,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Hills Parking,Fines & Forfeitures,Parking Fines,28000
2017,Montgomery County Public Schools,NON-TAX SUPPORTED,Food Service Fund,Intergovernmental,Child Care Food Service,0
2017,Montgomery County Public Schools,NON-TAX SUPPORTED,Food Service Fund,Intergovernmental,Federal Food,34400008
2017,Montgomery County Public Schools,NON-TAX SUPPORTED,Food Service Fund,Intergovernmental,State Food,2305057
2017,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Hills Parking,Investment Income,Investment Income,4270
2017,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Hills Parking,Miscellaneous,Miscellaneous Revenues,0
2017,Montgomery County Public Schools,NON-TAX SUPPORTED,Food Service Fund,Miscellaneous,Miscellaneous: Investment Income,0
2017,Montgomery College,NON-TAX SUPPORTED,Cable Television Fund,Miscellaneous,Cable: Other Revenue,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Taxes,Property Tax,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Licenses & Permits,Electrical Permits and Licenses,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Licenses & Permits,Residential Parking Permits,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Charges for Services,Other Charges/Fees,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Charges for Services,Parking Fees,10661253
2017,Montgomery College,NON-TAX SUPPORTED,Major Facilities Reserve Fund,Charges for Services,Student Fees,2900000
2017,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Fines & Forfeitures,Parking Fines,1869689
2017,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Investment Income,Investment Income,95840
2017,Montgomery College,NON-TAX SUPPORTED,Major Facilities Reserve Fund,Investment Income,Interest Income,14000
2017,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Miscellaneous,Miscellaneous Revenues,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Miscellaneous,Property Rentals,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Wheaton Parking,Taxes,Property Tax,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Wheaton Parking,Licenses & Permits,Electrical Permits and Licenses,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Wheaton Parking,Charges for Services,Parking Fees,815000
2017,Montgomery College,NON-TAX SUPPORTED,Transportation Fund,Charges for Services,Student Fees,3654000
2017,Montgomery County Government,NON-TAX SUPPORTED,Wheaton Parking,Fines & Forfeitures,Parking Fines,511000
2017,Montgomery County Government,NON-TAX SUPPORTED,Wheaton Parking,Investment Income,Investment Income,7140
2017,Montgomery County Government,NON-TAX SUPPORTED,Wheaton Parking,Miscellaneous,Miscellaneous Revenues,0
2017,Montgomery County Public Schools,NON-TAX SUPPORTED,Real Estate Fund,Miscellaneous,Real Estate Fund,3686191
2017,Montgomery College,NON-TAX SUPPORTED,Transportation Fund,Miscellaneous,Miscellaneous Other,202000
2017,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Building Permits,25665265
2017,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Electrical Permits and Licenses,3997312
2017,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Fire Code Enforcement Permits,2847610
2017,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Grading/Storm Drains/Paving/Driveway Permits,5811013
2017,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Mechanical Construction Permit,1185045
2017,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Occupancy Permits,885252
2017,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Other Licenses/Permits,880061
2017,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Taxes,Bag Tax,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Sediment Control Permits,3306018
2017,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Sign Permits,140650
2017,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Special Exception Fee,322149
2017,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Stormwater Mgmt and Water Quality Plan Fee,281443
2017,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Utility Permits,1034616
2017,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Well and Septic,299412
2017,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Charges for Services,Automation Enhancement Fee,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Charges for Services,Other Charges/Fees,104484
2017,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Charges for Services,Parking Fees,0
2017,Montgomery County Public Schools,NON-TAX SUPPORTED,Field Trip Fund,Charges for Services,Field Trip Fees,2006361
2017,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Fines & Forfeitures,Other Fines/Forfeitures,147464
2017,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Investment Income,Investment Income,211960
2017,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Miscellaneous,Miscellaneous Revenues,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Collection,Licenses & Permits,Licensing Fee,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Collection,Charges for Services,Other Charges/Fees,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Collection,Charges for Services,Systems Benefit Charge,6427259
2017,Montgomery County Public Schools,NON-TAX SUPPORTED,Entrepreneurial Activities Fund,Charges for Services,Entrepreneurial Activities Fee,2364802
2017,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Collection,Investment Income,Investment Income,14930
2017,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Collection,Miscellaneous,Miscellaneous Revenues,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Licenses & Permits,Other Licenses/Permits,13145
2017,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Charges for Services,Other Charges/Fees,238628
2017,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Charges for Services,Sale of Recycled Materials,5232584
2017,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Charges for Services,Solid Waste Collection Fees,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Charges for Services,Solid Waste Disposal Fees/Operating Revenues,28658109
2017,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Charges for Services,Systems Benefit Charge,56176598
2017,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Fines & Forfeitures,Other Fines/Forfeitures,56934
2017,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Intergovernmental,Other Intergovernmental,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Investment Income,Investment Income,180500
2017,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Miscellaneous,Miscellaneous Revenues,9119411
2017,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Miscellaneous,Property Rentals,39719
2017,Montgomery County Government,NON-TAX SUPPORTED,Leaf Vacuuming,Charges for Services,Leaf Vaccuum Collection Fees,7202921
2017,Montgomery County Government,NON-TAX SUPPORTED,Leaf Vacuuming,Charges for Services,Other Charges/Fees,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Leaf Vacuuming,Charges for Services,Systems Benefit Charge,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Leaf Vacuuming,Investment Income,Investment Income,8700
2017,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Licenses & Permits,Liquor Licenses,1570197
2017,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Licenses & Permits,Other Licenses/Permits,156000
2017,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Charges for Services,Other Charges/Fees,8740
2017,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Fines & Forfeitures,Other Fines/Forfeitures,220560
2017,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Investment Income,Investment Income,76670
2017,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Miscellaneous,Liquor Sales,84542843
2017,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Miscellaneous,Miscellaneous Revenues,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Miscellaneous,Property Rentals,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Miscellaneous,Land Sale,900000
2018,Montgomery County Government,TAX SUPPORTED,Fire,Licenses & Permits,Health Inspections: Swimming Pools,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Property Rentals,0
2018,M-NCPPC,NON-TAX SUPPORTED,Special Revenue Funds,Intergovernmental,Intergovernmental,145000
2018,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Licenses & Permits,Electrical Permits and Licenses,0
2018,M-NCPPC,TAX SUPPORTED,ALA Debt Service Fund,Taxes,Property Tax,1941740
2018,Montgomery County Government,NON-TAX SUPPORTED,Water Quality Protection,Taxes,Water Quality Protection Charge,37501846
2018,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Charges for Services,Other Charges/Fees,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Wheaton Parking,Fines & Forfeitures,Parking Fines,476000
2018,Montgomery College,NON-TAX SUPPORTED,Auxiliary Fund,Miscellaneous,Other Revenues: Miscellaneous,765000
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Other Licenses/Permits,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Alternative Community Services,385000
2018,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Sediment Control Permits,3181283
2018,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Collection,Charges for Services,Systems Benefit Charge,6440210
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Parking Fees,210000
2018,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Charges for Services,Solid Waste Collection Fees,0
2018,Montgomery County Government,TAX SUPPORTED,Wheaton Urban District,Taxes,Property Tax,217506
2018,Montgomery County Government,TAX SUPPORTED,Recreation,Charges for Services,Facility Rental Fees,794600
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Health Inspections: Living Facilities,254470
2018,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Miscellaneous,Miscellaneous Revenues,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Investment Income,Investment Income,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,State Aid: Highway User,3702146
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Indirect Costs: Grants,1000000
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,E-Cigarette Tax,412100
2018,Montgomery County Government,TAX SUPPORTED,Mass Transit,Charges for Services,Bus Advertising,1035000
2018,Montgomery County Government,NON-TAX SUPPORTED,Water Quality Protection,Charges for Services,Other Charges/Fees,565000
2018,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Charges for Services,Parking Fees,10706253
2018,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Charges for Services,PEG Capital Revenue,6673805
2018,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Charges for Services,Gaithersburg PEG Contribution,168304
2018,Montgomery College,TAX SUPPORTED,Current Fund MC,Charges for Services,Tuition and Fees: Current Fund,79073170
2018,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Other Licenses/Permits,737366
2018,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Taxes,Recordation Tax,14861338
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Miscellaneous Revenues,2982228
2018,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Hills Parking,Charges for Services,Parking Fees,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Tree Canopy,500000
2018,Montgomery County Government,TAX SUPPORTED,Bradley Noise Abatement,Investment Income,Investment Income,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Well and Septic,57641
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Other Licenses/Permits,197530
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Indirect Costs: Grants,0
2018,Montgomery County Government,TAX SUPPORTED,Fire,Charges for Services,Self Insurance Revenues,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Medicaid/Medicare Reimbursement,3498580
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Health Inspections: Swimming Pools,566250
2018,M-NCPPC,NON-TAX SUPPORTED,Enterprise Fund,Charges for Services,Merchandise Sales,698686
2018,Montgomery County Government,NON-TAX SUPPORTED,Water Quality Protection,Miscellaneous,Miscellaneous Revenues,0
2018,M-NCPPC,NON-TAX SUPPORTED,Special Revenue Funds,Charges for Services,Service Charges,2543770
2018,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Miscellaneous,Miscellaneous Revenues,12641030
2018,Montgomery College,NON-TAX SUPPORTED,Workforce Development & Continuing Ed,Charges for Services,Tuition and Fees: Continuing Education,10550000
2018,Montgomery County Government,TAX SUPPORTED,Fire,Charges for Services,Health and Human Services Fees,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Water Quality Protection,Taxes,Bag Tax,2471921
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,EEOC Reimbursement,55000
2018,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Collection,Charges for Services,Other Charges/Fees,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Fines & Forfeitures,Speed Camera Citations,18750000
2018,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,Supplemental Grant,0
2018,M-NCPPC,TAX SUPPORTED,Park Fund,Investment Income,Investment Income,5000
2018,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Miscellaneous,Miscellaneous Revenues,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Leaf Vacuuming,Charges for Services,Systems Benefit Charge,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Investment Income,Investment Income,1266790
2018,Montgomery College,TAX SUPPORTED,Current Fund MC,Miscellaneous,Current Fund: Other Revenue,1459000
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Health Inspection: Restaurants,1834900
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,State Reimbursement: Library Operations,3120000
2018,Debt Service,TAX SUPPORTED,Debt Service,Miscellaneous,Other Financing Sources,0
2018,Montgomery College,NON-TAX SUPPORTED,Major Facilities Reserve Fund,Charges for Services,Student Fees,2900000
2018,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,Federal Revenues,150000
2018,Montgomery County Government,TAX SUPPORTED,Mass Transit,Charges for Services,Ride On Fare Revenue,21559302
2018,Montgomery County Government,NON-TAX SUPPORTED,Leaf Vacuuming,Charges for Services,Leaf Vaccuum Collection Fees,7216578
2018,Montgomery County Government,NON-TAX SUPPORTED,Wheaton Parking,Miscellaneous,Miscellaneous Revenues,0
2018,Montgomery County Government,TAX SUPPORTED,Recreation,Licenses & Permits,Health Inspection: Restaurants,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,Telephone Tax,52503689
2018,Montgomery County Government,NON-TAX SUPPORTED,Community Use of Public Facilities,Miscellaneous,Miscellaneous Revenues,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Charges for Services,Sale of Recycled Materials,6994213
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Discovery Materials,7000
2018,Debt Service,TAX SUPPORTED,Debt Service,Intergovernmental,State Grants,0
2018,Montgomery College,TAX SUPPORTED,Emergency Repair Fund,Investment Income,EPMRF: Investment Income Non-Pooled,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Fines & Forfeitures,Other Fines/Forfeitures,220560
2018,Montgomery County Government,NON-TAX SUPPORTED,Restricted Donations,Intergovernmental,Other Intergovernmental,0
2018,Montgomery County Government,TAX SUPPORTED,Bethesda Urban District,Investment Income,Investment Income,0
2018,M-NCPPC,NON-TAX SUPPORTED,Enterprise Fund,Charges for Services,Rentals,3314020
2018,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Miscellaneous,Miscellaneous Revenues,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Miscellaneous,Miscellaneous Revenues,75006
2018,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Miscellaneous,Property Rentals,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Conference Center - Rental Income,319100
2018,Montgomery College,NON-TAX SUPPORTED,Endowment Fund,Miscellaneous,Interest,2500
2018,M-NCPPC,NON-TAX SUPPORTED,Enterprise Fund,Miscellaneous,Miscellaneous,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Charges for Services,I-Net Operating Revenue,0
2018,Montgomery County Public Schools,NON-TAX SUPPORTED,Grant Fund MCPS,Intergovernmental,Federal Grants,74629459
2018,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Intergovernmental,HB669 Social Services State Reimbursement,37548400
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Sheriff Fees,1200000
2018,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Fines & Forfeitures,Other Fines/Forfeitures,140485
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Fines & Forfeitures,Other Fines/Forfeitures,575000
2018,M-NCPPC,NON-TAX SUPPORTED,Prop Mgmt MNCPPC,Investment Income,Investment Income,4500
2018,Montgomery County Public Schools,NON-TAX SUPPORTED,Entrepreneurial Activities Fund,Charges for Services,Entrepreneurial Activities Fee,2090053
2018,M-NCPPC,NON-TAX SUPPORTED,Prop Mgmt MNCPPC,Charges for Services,Rental Income,1306600
2018,Montgomery County Government,TAX SUPPORTED,Mass Transit,Charges for Services,Parking Fees,661385
2018,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Intergovernmental,Other Intergovernmental,0
2018,Montgomery County Government,TAX SUPPORTED,Silver Spring Urban District,Charges for Services,Optional Method Development,150000
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Other Charges/Fees,55000
2018,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Investment Income,Investment Income,0
2018,Montgomery County Government,TAX SUPPORTED,Recreation,Investment Income,Investment Income,35970
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Parking Fees,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Conference Center - Net Proceeds,1100000
2018,Montgomery County Government,NON-TAX SUPPORTED,Restricted Donations,Miscellaneous,Miscellaneous Revenues,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Building Permits,21889612
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Magistrates,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Commission for Women Fees,0
2018,Debt Service,TAX SUPPORTED,Debt Service,Intergovernmental,Other Intergovernmental,0
2018,Montgomery County Government,TAX SUPPORTED,Recreation,Licenses & Permits,Other Licenses/Permits,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Miscellaneous,Property Rentals,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Marriage Licenses,67000
2018,Montgomery County Government,TAX SUPPORTED,Fire,Charges for Services,Facility Rental Fees,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Wheaton Parking,Charges for Services,Parking Fees,725000
2018,M-NCPPC,TAX SUPPORTED,Administration Fund,Miscellaneous,Miscellaneous,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Licenses & Permits,Residential Parking Permits,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Water Quality Protection,Investment Income,Investment Income,235750
2018,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,Transportation,42090090
2018,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Charges for Services,Parking Fees,0
2018,Montgomery College,NON-TAX SUPPORTED,Grant Fund MC,Intergovernmental,Federal/State/Private Grants,22973000
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Other Intergovernmental,3521515
2018,Montgomery College,NON-TAX SUPPORTED,Auxiliary Fund,Charges for Services,Sales,1508510
2018,Montgomery County Government,TAX SUPPORTED,Recreation,Charges for Services,Parking Fees,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Intergovernmental,State Grants,20000000
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Fines & Forfeitures,Photo Red Light Citations,4600000
2018,Montgomery County Government,NON-TAX SUPPORTED,Leaf Vacuuming,Investment Income,Investment Income,13350
2018,Debt Service,TAX SUPPORTED,Debt Service,Intergovernmental,Premium on General Obligation Bonds,16230640
2018,Montgomery County Government,TAX SUPPORTED,Mass Transit,Miscellaneous,Miscellaneous Revenues,0
2018,Montgomery County Government,TAX SUPPORTED,Fire,Licenses & Permits,Trader's License,0
2018,Montgomery County Government,TAX SUPPORTED,Silver Spring Urban District,Charges for Services,Recreation Fees,0
2018,M-NCPPC,TAX SUPPORTED,Administration Fund,Taxes,Property Tax,28944760
2018,Montgomery County Public Schools,NON-TAX SUPPORTED,Grant Fund MCPS,Intergovernmental,Private Grants,6731204
2018,Montgomery County Government,TAX SUPPORTED,Fire,Licenses & Permits,Other Licenses/Permits,0
2018,Montgomery College,TAX SUPPORTED,Current Fund MC,Investment Income,Current Fund: Interest,155000
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Common Ownership Community Fees,685125
2018,M-NCPPC,TAX SUPPORTED,Park Fund,Miscellaneous,Miscellaneous,120900
2018,Montgomery County Public Schools,NON-TAX SUPPORTED,Food Service Fund,Intergovernmental,State Food,2211852
2018,Montgomery County Government,TAX SUPPORTED,Recreation,Miscellaneous,Miscellaneous Revenues - Parks ActiveNet,45232
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,County Income Tax,1557887240
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,Recordation Tax,56156616
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,Energy Tax,204333000
2018,M-NCPPC,TAX SUPPORTED,Park Fund,Intergovernmental,Intergovernmental,3084641
2018,Montgomery County Government,TAX SUPPORTED,Economic Development Fund,Miscellaneous,Loan Payments,134438
2018,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Charges for Services,Other Charges/Fees,687311
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Federal Financial Participation Reimbursements,14484085
2018,Montgomery County Public Schools,NON-TAX SUPPORTED,Food Service Fund,Intergovernmental,Federal Food,35058547
2018,Montgomery College,TAX SUPPORTED,Current Fund MC,Charges for Services,Other Student Fees: Current Fund,1346287
2018,Montgomery County Public Schools,NON-TAX SUPPORTED,Food Service Fund,Charges for Services,Sale of Meals,16943135
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Loan Payments,35000
2018,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Intergovernmental,State Grants,30990618
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,CIP Indirect Costs,0
2018,Montgomery College,TAX SUPPORTED,Current Fund MC,Miscellaneous,Current Fund: Performing Arts Center,135000
2018,Montgomery County Government,TAX SUPPORTED,Recreation,Charges for Services,Other Charges/Fees,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Occupancy Permits,457678
2018,Montgomery County Government,TAX SUPPORTED,Fire,Intergovernmental,Emergency 911,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Loan Payments,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Charges for Services,Smart Meters,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Miscellaneous,Miscellaneous Revenues,284120
2018,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Fire Code Compliance,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Stormwater Mgmt and Water Quality Plan Fee,266777
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Emergency 911,6745000
2018,Montgomery County Government,TAX SUPPORTED,Mass Transit,Charges for Services,Insurance Recoveries,0
2018,M-NCPPC,NON-TAX SUPPORTED,Enterprise Fund,Miscellaneous,Non-Operating Revenues/Interest,60000
2018,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Licenses & Permits,Liquor Licenses,1570197
2018,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Charges for Services,Tower Application Fees,250000
2018,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Utility Permits,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Charges for Services,Solid Waste Disposal Fees/Operating Revenues,25642838
2018,Montgomery County Government,TAX SUPPORTED,Bradley Noise Abatement,Taxes,Property Tax,0
2018,Debt Service,TAX SUPPORTED,Debt Service,Intergovernmental,Federal Grants,5598670
2018,Montgomery County Government,TAX SUPPORTED,Mass Transit,Investment Income,Investment Income,120250
2018,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Charges for Services,Franchise Fees,17986502
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Substance Abusers Intervention Program (IPSA),74000
2018,Montgomery County Government,NON-TAX SUPPORTED,Community Use of Public Facilities,Charges for Services,Recreation Fees,0
